,spot,spotName,date,Ta,Rn(mm),Ws(m/s),Wd(16D),Hm(%),Pa(hPa),Ps(hPa),Ss(hr),Gsr(MJ/m2),Snow(cm),DpthFhsc(cm),Tca(10),CloudForm,Ts
145,108,Seoul,2021-01-07 1:00,-9.6,0.0,4.4,270.0,75,1009.6,1020.8,,,3.3,,8.0,,-2.1
146,108,Seoul,2021-01-07 2:00,-11.6,0.0,5.0,290.0,54,1011.4,1022.7,,,2.9,,8.0,,-2.3
147,108,Seoul,2021-01-07 3:00,-13.2,0.0,5.6,320.0,55,1012.6,1024.0,,,2.7,,0.0,,-2.6
148,108,Seoul,2021-01-07 4:00,-14.3,0.0,3.4,290.0,59,1013.0,1024.5,,,2.5,,0.0,,-3.1
149,108,Seoul,2021-01-07 5:00,-15.0,0.0,5.6,270.0,56,1013.4,1024.9,,,2.3,,3.0,Sc,-3.4
150,108,Seoul,2021-01-07 6:00,-15.6,0.0,5.5,290.0,58,1014.3,1025.8,,,2.2,,6.0,Sc,-3.7
151,108,Seoul,2021-01-07 7:00,-16.1,0.0,5.3,270.0,55,1015.1,1026.7,,,2.2,,0.0,,-4.0
152,108,Seoul,2021-01-07 8:00,-16.4,0.0,4.3,270.0,55,1015.5,1027.1,0.0,0.01,2.1,,2.0,Sc,-4.4
153,108,Seoul,2021-01-07 9:00,-16.2,0.0,2.8,270.0,56,1016.8,1028.4,0.8,0.31,1.9,,1.0,Sc,-7.8
154,108,Seoul,2021-01-07 10:00,-15.3,0.0,5.4,270.0,50,1017.5,1029.1,1.0,0.92,1.6,,0.0,,-7.1
155,108,Seoul,2021-01-07 11:00,-14.8,0.0,,,48,1016.9,1028.5,,,1.4,,0.0,,-4.6
156,108,Seoul,2021-01-07 12:00,-13.8,0.0,,,45,1016.4,1027.9,,,1.4,,0.0,,-2.6
157,108,Seoul,2021-01-07 13:00,-13.1,0.0,4.2,290.0,42,1015.6,1027.1,,,1.3,,0.0,,-1.7
158,108,Seoul,2021-01-07 14:00,-12.4,0.0,4.4,290.0,40,1015.5,1026.9,1.0,2.03,1.3,,0.0,,-2.1
159,108,Seoul,2021-01-07 15:00,-12.4,0.0,4.8,290.0,38,1015.6,1027.0,1.0,1.72,1.1,,0.0,,-3.7
160,108,Seoul,2021-01-07 16:00,-12.3,0.0,4.6,290.0,37,1015.8,1027.2,1.0,1.2,1.1,,0.0,,-5.1
161,108,Seoul,2021-01-07 17:00,-13.0,0.0,4.5,270.0,38,1016.1,1027.6,1.0,0.53,1.1,,0.0,,-7.3
162,108,Seoul,2021-01-07 18:00,-13.7,0.0,1.6,340.0,45,1015.7,1027.2,0.2,0.06,1.1,,0.0,,-8.9
163,108,Seoul,2021-01-07 19:00,-14.2,0.0,2.1,290.0,46,1016.1,1027.6,,,1.1,,0.0,,-9.6
164,108,Seoul,2021-01-07 20:00,-14.6,0.0,1.4,340.0,47,1016.0,1027.5,,,1.1,,0.0,,-10.0
165,108,Seoul,2021-01-07 21:00,-14.9,0.0,2.9,270.0,50,1015.7,1027.2,,,1.1,,0.0,,-10.4
166,108,Seoul,2021-01-07 22:00,-15.3,0.0,2.5,270.0,54,1015.6,1027.1,,,1.1,,0.0,,-10.7
167,108,Seoul,2021-01-07 23:00,-15.5,0.0,3.3,340.0,54,1015.2,1026.8,,,1.1,,0.0,,-11.0
168,108,Seoul,2021-01-08 0:00,-15.9,0.0,2.5,320.0,52,1015.3,1026.9,,,1.1,,0.0,,-11.3
169,108,Seoul,2021-01-08 1:00,-16.5,0.0,1.9,290.0,50,1015.0,1026.6,,,1.1,,0.0,,-11.5
170,108,Seoul,2021-01-08 2:00,-16.9,0.0,2.4,290.0,52,1015.4,1027.0,,,1.1,,0.0,,-11.8
171,108,Seoul,2021-01-08 3:00,-17.2,0.0,3.8,270.0,47,1015.5,1027.1,,,1.1,,0.0,,-12.1
172,108,Seoul,2021-01-08 4:00,-17.5,0.0,3.0,270.0,47,1015.6,1027.3,,,1.1,,0.0,,-12.3
173,108,Seoul,2021-01-08 5:00,-17.8,0.0,2.9,270.0,47,1015.8,1027.5,,,1.1,,0.0,,-12.5
174,108,Seoul,2021-01-08 6:00,-17.8,0.0,3.7,290.0,47,1015.7,1027.4,,,1.1,,0.0,,-12.7
175,108,Seoul,2021-01-08 7:00,-18.2,0.0,1.9,270.0,46,1015.5,1027.2,,,1.1,,0.0,,-12.7
